"data","valor","serie","tag","grupo"
1995-02-01,778,7415,"bndes_desembolsos","atividade"
1995-03-01,1323,7415,"bndes_desembolsos","atividade"
1995-04-01,1752,7415,"bndes_desembolsos","atividade"
1995-05-01,2422,7415,"bndes_desembolsos","atividade"
1995-06-01,2974,7415,"bndes_desembolsos","atividade"
1995-07-01,3464,7415,"bndes_desembolsos","atividade"
1995-08-01,3949,7415,"bndes_desembolsos","atividade"
1995-09-01,4481,7415,"bndes_desembolsos","atividade"
1995-10-01,5144,7415,"bndes_desembolsos","atividade"
1995-11-01,5791,7415,"bndes_desembolsos","atividade"
1995-12-01,7098,7415,"bndes_desembolsos","atividade"
1996-01-01,595,7415,"bndes_desembolsos","atividade"
1996-02-01,1313,7415,"bndes_desembolsos","atividade"
1996-03-01,2035,7415,"bndes_desembolsos","atividade"
1996-04-01,2542,7415,"bndes_desembolsos","atividade"
1996-05-01,3866,7415,"bndes_desembolsos","atividade"
1996-06-01,4486,7415,"bndes_desembolsos","atividade"
1996-07-01,5279,7415,"bndes_desembolsos","atividade"
1996-08-01,6169,7415,"bndes_desembolsos","atividade"
1996-09-01,7078,7415,"bndes_desembolsos","atividade"
1996-10-01,7686,7415,"bndes_desembolsos","atividade"
1996-11-01,8425,7415,"bndes_desembolsos","atividade"
1996-12-01,9951,7415,"bndes_desembolsos","atividade"
1997-01-01,797,7415,"bndes_desembolsos","atividade"
1997-02-01,1277,7415,"bndes_desembolsos","atividade"
1997-03-01,1988,7415,"bndes_desembolsos","atividade"
1997-04-01,2843,7415,"bndes_desembolsos","atividade"
1997-05-01,4231,7415,"bndes_desembolsos","atividade"
1997-06-01,5918,7415,"bndes_desembolsos","atividade"
1997-07-01,7295,7415,"bndes_desembolsos","atividade"
1997-08-01,8683,7415,"bndes_desembolsos","atividade"
1997-09-01,10847,7415,"bndes_desembolsos","atividade"
1997-10-01,12451,7415,"bndes_desembolsos","atividade"
1997-11-01,14988,7415,"bndes_desembolsos","atividade"
1997-12-01,17894,7415,"bndes_desembolsos","atividade"
1998-01-01,1011,7415,"bndes_desembolsos","atividade"
1998-02-01,2367,7415,"bndes_desembolsos","atividade"
1998-03-01,3615,7415,"bndes_desembolsos","atividade"
1998-04-01,5833,7415,"bndes_desembolsos","atividade"
1998-05-01,6954,7415,"bndes_desembolsos","atividade"
1998-06-01,8882,7415,"bndes_desembolsos","atividade"
1998-07-01,10629,7415,"bndes_desembolsos","atividade"
1998-08-01,12671,7415,"bndes_desembolsos","atividade"
1998-09-01,14632,7415,"bndes_desembolsos","atividade"
1998-10-01,15925,7415,"bndes_desembolsos","atividade"
1998-11-01,17409,7415,"bndes_desembolsos","atividade"
1998-12-01,18991,7415,"bndes_desembolsos","atividade"
1999-01-01,832,7415,"bndes_desembolsos","atividade"
1999-02-01,1878,7415,"bndes_desembolsos","atividade"
1999-03-01,3503,7415,"bndes_desembolsos","atividade"
1999-04-01,4537,7415,"bndes_desembolsos","atividade"
1999-05-01,5565,7415,"bndes_desembolsos","atividade"
1999-06-01,7203,7415,"bndes_desembolsos","atividade"
1999-07-01,8282,7415,"bndes_desembolsos","atividade"
1999-08-01,9789,7415,"bndes_desembolsos","atividade"
1999-09-01,11030,7415,"bndes_desembolsos","atividade"
1999-10-01,12637,7415,"bndes_desembolsos","atividade"
1999-11-01,14558,7415,"bndes_desembolsos","atividade"
1999-12-01,18052,7415,"bndes_desembolsos","atividade"
2000-01-01,916,7415,"bndes_desembolsos","atividade"
2000-02-01,1962,7415,"bndes_desembolsos","atividade"
2000-03-01,3441,7415,"bndes_desembolsos","atividade"
2000-04-01,4304,7415,"bndes_desembolsos","atividade"
2000-05-01,5384,7415,"bndes_desembolsos","atividade"
2000-06-01,6688,7415,"bndes_desembolsos","atividade"
2000-07-01,9528,7415,"bndes_desembolsos","atividade"
2000-08-01,10923,7415,"bndes_desembolsos","atividade"
2000-09-01,12210,7415,"bndes_desembolsos","atividade"
2000-10-01,14895,7415,"bndes_desembolsos","atividade"
2000-11-01,18950,7415,"bndes_desembolsos","atividade"
2000-12-01,23046,7415,"bndes_desembolsos","atividade"
2001-01-01,1439,7415,"bndes_desembolsos","atividade"
2001-02-01,2627,7415,"bndes_desembolsos","atividade"
2001-03-01,5323,7415,"bndes_desembolsos","atividade"
2001-04-01,6600,7415,"bndes_desembolsos","atividade"
2001-05-01,8192,7415,"bndes_desembolsos","atividade"
2001-06-01,10518,7415,"bndes_desembolsos","atividade"
2001-07-01,11799,7415,"bndes_desembolsos","atividade"
2001-08-01,15196,7415,"bndes_desembolsos","atividade"
2001-09-01,16904,7415,"bndes_desembolsos","atividade"
2001-10-01,19221,7415,"bndes_desembolsos","atividade"
2001-11-01,21845,7415,"bndes_desembolsos","atividade"
2001-12-01,25217,7415,"bndes_desembolsos","atividade"
2002-01-01,1802,7415,"bndes_desembolsos","atividade"
2002-02-01,4361,7415,"bndes_desembolsos","atividade"
2002-03-01,6068,7415,"bndes_desembolsos","atividade"
2002-04-01,7717,7415,"bndes_desembolsos","atividade"
2002-05-01,10370,7415,"bndes_desembolsos","atividade"
2002-06-01,13223,7415,"bndes_desembolsos","atividade"
2002-07-01,16101,7415,"bndes_desembolsos","atividade"
2002-08-01,20920,7415,"bndes_desembolsos","atividade"
2002-09-01,24632,7415,"bndes_desembolsos","atividade"
2002-10-01,29002,7415,"bndes_desembolsos","atividade"
2002-11-01,32323,7415,"bndes_desembolsos","atividade"
2002-12-01,37419,7415,"bndes_desembolsos","atividade"
2003-01-01,1803,7415,"bndes_desembolsos","atividade"
2003-02-01,3844,7415,"bndes_desembolsos","atividade"
2003-03-01,5508,7415,"bndes_desembolsos","atividade"
2003-04-01,6945,7415,"bndes_desembolsos","atividade"
2003-05-01,8753,7415,"bndes_desembolsos","atividade"
2003-06-01,12212,7415,"bndes_desembolsos","atividade"
2003-07-01,15385,7415,"bndes_desembolsos","atividade"
2003-08-01,16972,7415,"bndes_desembolsos","atividade"
2003-09-01,18970,7415,"bndes_desembolsos","atividade"
2003-10-01,22212,7415,"bndes_desembolsos","atividade"
2003-11-01,28556,7415,"bndes_desembolsos","atividade"
2003-12-01,33534,7415,"bndes_desembolsos","atividade"
2004-01-01,2237,7415,"bndes_desembolsos","atividade"
2004-02-01,5215,7415,"bndes_desembolsos","atividade"
2004-03-01,8508,7415,"bndes_desembolsos","atividade"
2004-04-01,12124,7415,"bndes_desembolsos","atividade"
2004-05-01,13912,7415,"bndes_desembolsos","atividade"
2004-06-01,18008,7415,"bndes_desembolsos","atividade"
2004-07-01,20978,7415,"bndes_desembolsos","atividade"
2004-08-01,24287,7415,"bndes_desembolsos","atividade"
2004-09-01,27744,7415,"bndes_desembolsos","atividade"
2004-10-01,31727,7415,"bndes_desembolsos","atividade"
2004-11-01,35283,7415,"bndes_desembolsos","atividade"
2004-12-01,39834,7415,"bndes_desembolsos","atividade"
2005-01-01,3795,7415,"bndes_desembolsos","atividade"
2005-02-01,6257,7415,"bndes_desembolsos","atividade"
2005-03-01,9463,7415,"bndes_desembolsos","atividade"
2005-04-01,12040,7415,"bndes_desembolsos","atividade"
2005-05-01,15092,7415,"bndes_desembolsos","atividade"
2005-06-01,19973,7415,"bndes_desembolsos","atividade"
2005-07-01,24553,7415,"bndes_desembolsos","atividade"
2005-08-01,28740,7415,"bndes_desembolsos","atividade"
2005-09-01,31146,7415,"bndes_desembolsos","atividade"
2005-10-01,33786,7415,"bndes_desembolsos","atividade"
2005-11-01,39778,7415,"bndes_desembolsos","atividade"
2005-12-01,46980,7415,"bndes_desembolsos","atividade"
2006-01-01,2488,7415,"bndes_desembolsos","atividade"
2006-02-01,4275,7415,"bndes_desembolsos","atividade"
2006-03-01,6772,7415,"bndes_desembolsos","atividade"
2006-04-01,10625,7415,"bndes_desembolsos","atividade"
2006-05-01,13636,7415,"bndes_desembolsos","atividade"
2006-06-01,18250,7415,"bndes_desembolsos","atividade"
2006-07-01,22611,7415,"bndes_desembolsos","atividade"
2006-08-01,27339,7415,"bndes_desembolsos","atividade"
2006-09-01,31174,7415,"bndes_desembolsos","atividade"
2006-10-01,34958,7415,"bndes_desembolsos","atividade"
2006-11-01,41482,7415,"bndes_desembolsos","atividade"
2006-12-01,51318,7415,"bndes_desembolsos","atividade"
2007-01-01,4681,7415,"bndes_desembolsos","atividade"
2007-02-01,7020,7415,"bndes_desembolsos","atividade"
2007-03-01,11271,7415,"bndes_desembolsos","atividade"
2007-04-01,14844,7415,"bndes_desembolsos","atividade"
2007-05-01,19057,7415,"bndes_desembolsos","atividade"
2007-06-01,24709,7415,"bndes_desembolsos","atividade"
2007-07-01,31240,7415,"bndes_desembolsos","atividade"
2007-08-01,36970,7415,"bndes_desembolsos","atividade"
2007-09-01,41800,7415,"bndes_desembolsos","atividade"
2007-10-01,49818,7415,"bndes_desembolsos","atividade"
2007-11-01,56635,7415,"bndes_desembolsos","atividade"
2007-12-01,64892,7415,"bndes_desembolsos","atividade"
2008-01-01,4395,7415,"bndes_desembolsos","atividade"
2008-02-01,8760,7415,"bndes_desembolsos","atividade"
2008-03-01,16359,7415,"bndes_desembolsos","atividade"
2008-04-01,25827,7415,"bndes_desembolsos","atividade"
2008-05-01,32315,7415,"bndes_desembolsos","atividade"
2008-06-01,37881,7415,"bndes_desembolsos","atividade"
2008-07-01,44574,7415,"bndes_desembolsos","atividade"
2008-08-01,51859,7415,"bndes_desembolsos","atividade"
2008-09-01,59987,7415,"bndes_desembolsos","atividade"
2008-10-01,70129,7415,"bndes_desembolsos","atividade"
2008-11-01,78546,7415,"bndes_desembolsos","atividade"
2008-12-01,90878,7415,"bndes_desembolsos","atividade"
2009-01-01,4438,7415,"bndes_desembolsos","atividade"
2009-02-01,9474,7415,"bndes_desembolsos","atividade"
2009-03-01,17893,7415,"bndes_desembolsos","atividade"
2009-04-01,25605,7415,"bndes_desembolsos","atividade"
2009-05-01,31643,7415,"bndes_desembolsos","atividade"
2009-06-01,41880,7415,"bndes_desembolsos","atividade"
2009-07-01,74052,7415,"bndes_desembolsos","atividade"
2009-08-01,83142,7415,"bndes_desembolsos","atividade"
2009-09-01,95801,7415,"bndes_desembolsos","atividade"
2009-10-01,106486,7415,"bndes_desembolsos","atividade"
2009-11-01,117459,7415,"bndes_desembolsos","atividade"
2009-12-01,136356,7415,"bndes_desembolsos","atividade"
2010-01-01,7703,7415,"bndes_desembolsos","atividade"
2010-02-01,16016,7415,"bndes_desembolsos","atividade"
2010-03-01,25462,7415,"bndes_desembolsos","atividade"
2010-04-01,35621,7415,"bndes_desembolsos","atividade"
2010-05-01,46036,7415,"bndes_desembolsos","atividade"
2010-06-01,59316,7415,"bndes_desembolsos","atividade"
2010-07-01,72666,7415,"bndes_desembolsos","atividade"
2010-08-01,91015,7415,"bndes_desembolsos","atividade"
2010-09-01,128013,7415,"bndes_desembolsos","atividade"
2010-10-01,140916,7415,"bndes_desembolsos","atividade"
2010-11-01,153606,7415,"bndes_desembolsos","atividade"
2010-12-01,168423,7415,"bndes_desembolsos","atividade"
2011-01-01,8272,7415,"bndes_desembolsos","atividade"
2011-02-01,17152,7415,"bndes_desembolsos","atividade"
2011-03-01,24865,7415,"bndes_desembolsos","atividade"
2011-04-01,33651,7415,"bndes_desembolsos","atividade"
2011-05-01,43339,7415,"bndes_desembolsos","atividade"
2011-06-01,55596,7415,"bndes_desembolsos","atividade"
2011-07-01,69158,7415,"bndes_desembolsos","atividade"
2011-08-01,80474,7415,"bndes_desembolsos","atividade"
2011-09-01,91603,7415,"bndes_desembolsos","atividade"
